Date;Wallet;Type;Category name;Amount;Currency;Note;Labels;Author
12.10.2023 20:44;Alior-manual;Expense;Shopping;-99.0;PLN;pizza;;Lukk
10.10.2023 20:44;Alior-manual;Expense;Food;-46.03;PLN;Wolt Warszawa PL ;;Lukk
12.10.2023 20:44;MyWallet;;Shopping;-99.0;PLN;BLIK - p?atno?? w internecie [GOGcomECOM];;Lukk
11.10.2023 20:44;MyWallet;;Salary;1000.0;PLN;Przelew ?rodków zabka;;Lukk
13.10.2023 10:00;MyWallet;;Income;400.00000000;PLN;Przelew na telefon BLIK, PL94109028510000000148599703, EGO 5/83 02-112 WARSZAWA;;Lukk
13.10.2023 12:10;MyWallet;;Expense;75;;Transakcja kartą debetową, UBER *TRIP, UBER *TRIP;;
13.10.2023 21:15;MyWallet;;;500000;;ALLEGRO PAY SP. Z O.O. UL. aaaa 1B 61-569 POZNAŃ PL, aliexpress Zwrot Allegro Pay 11123344  ALLEGRO PAY SP. Z O.O.             UL. aaaa 1B                61-569 POZNAŃ PL;;
21.01.2024 00:00;;;;-19,99;;HBO MAX Prague CZE;;
20.01.2024 00:00;;;;-29,99;;LIDL 1572 Warszawa PL;;
20.10.2023 00:00;;;Wpływy - inne;59,00;; UL. aaaa 1B 61-569 POZNAŃ PL, reserved  12223334  ALLEGRO PAY SP. Z O.O.             UL. aaaa 1B                61-569 POZNAŃ PL                                                       PRZELEW WEWNĘTRZNY PRZYCHODZĄCY                                                   1222233344455  ;;
12.01.2024 00:00;;;;-13;;sephora 1572 Warszawa PL;;
13.01.2024 00:00;;;;-13,99;;centrum ogrodnicze 1572 Warszawa PL;;
14.01.2024 00:00;;;;-13,00;;Orlen 1572 Warszawa PL;;
14.01.2024 00:00;;;;-130,99;;smolna 1572 Warszawa PL;;
14.01.2024 00:00;;;;-15,99;;nocny targ 1572 Warszawa PL;;
17.06.2024 00:00;;;;-15,99;;HBO netflix bp orlen ;;
